D  K   alpha dv-err
--- --- ------- ------
  1   1 1.0e-04   69.77
  1   2 1.0e-04   72.14
  1   5 1.0e-04   74.99
  1  10 1.0e-04   77.46
  1  20 1.0e-04   77.99
  1  50 1.0e-04   75.44
  1 100 1.0e-04   74.56
  2   1 1.0e-04   55.24
  2   2 1.0e-04   59.96
  2   5 1.0e-04   60.27
  2  10 1.0e-04   60.62
  2  20 1.0e-04   61.74
  2  50 1.0e-04   62.97
  2 100 1.0e-04   62.37
  5   1 1.0e-04   28.19
  5   2 1.0e-04   28.26
  5   5 1.0e-04   28.08
  5  10 1.0e-04   29.00
  5  20 1.0e-04   30.49
  5  50 1.0e-04   28.75
  5 100 1.0e-04   26.14
 10   1 1.0e-04   11.72
 10   2 1.0e-04   10.45
 10   5 1.0e-04    9.67
 10  10 1.0e-04    8.36
 10  20 1.0e-04    8.00
 10  50 1.0e-04    6.06
 10 100 1.0e-04    4.50
 20   1 1.0e-04    5.77
 20   2 1.0e-04    4.96
 20   5 1.0e-04    3.78
 20  10 1.0e-04    3.46
 20  20 1.0e-04    2.64
 20  50 1.0e-04    1.54
 20 100 1.0e-04    0.80
 50   1 1.0e-04    4.12
 50   2 1.0e-04    3.40
 50   5 1.0e-04    2.38
 50  10 1.0e-04    1.85
 50  20 1.0e-04    1.14
 50  50 1.0e-04    0.55
 50 100 1.0e-04    0.32
100   1 1.0e-04    3.93
100   2 1.0e-04    3.08
100   5 1.0e-04    2.17
100  10 1.0e-04    1.56
100  20 1.0e-04    0.87
100  50 1.0e-04    0.38
100 100 1.0e-04    0.25
